Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C185 Postcode 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2116,2116,16250,Parramatta (C),1.0,100.0,,,,,,,
2117,2117,16250,Parramatta (C),0.8089305,80.8930532,,,,,,,
2117,2117,17420,The Hills Shire (A),0.1910695,19.1069468,,,,,,,
2118,2118,14000,Hornsby (A),0.1482232,14.8223215,,,,,,,
2118,2118,16250,Parramatta (C),0.262899,26.2899033,,,,,,,
2118,2118,17420,The Hills Shire (A),0.5888778,58.8877752,,,,,,,
2119,2119,14000,Hornsby (A),1.0,100.0,,,,,,,
2120,2120,14000,Hornsby (A),1.0,100.0,,,,,,,
2121,2121,14000,Hornsby (A),0.7061198,70.6119791,,,,,,,
2121,2121,16250,Parramatta (C),0.2938802,29.3880209,,,,,,,
2122,2122,14000,Hornsby (A),0.0315878,3.1587828,,,,,,,
2122,2122,16250,Parramatta (C),0.1012885,10.1288483,,,,,,,
2122,2122,16700,Ryde (C),0.8671237,86.7123689,,,,,,,
2123,2123,16250,Parramatta (C),1.0,100.0,,,,,,,
2125,2125,14000,Hornsby (A),0.2328452,23.2845198,,,,,,,
2125,2125,17420,The Hills Shire (A),0.7671548,76.7154802,,,,,,,
2126,2126,14000,Hornsby (A),1.0,100.0,,,,,,,
2127,2127,10200,Auburn (C),1.0,100.0,,,,,,,
2128,2128,10200,Auburn (C),1.0,100.0,,,,,,,
2129,2129,17100,Strathfield (A),1.0,100.0,,,,,,,
2130,2130,10150,Ashfield (A),0.9996636,99.9663552,,,,,,,
2130,2130,15200,Marrickville (A),0.0003364,0.0336448,,,,,,,
2131,2131,10150,Ashfield (A),1.0,100.0,,,,,,,
2132,2132,10150,Ashfield (A),0.4070852,40.708518,,,,,,,
2132,2132,11300,Burwood (A),0.5929148,59.2914783,,,,,,,
2133,2133,10150,Ashfield (A),0.0783407,7.8340699,,,,,,,
2133,2133,11300,Burwood (A),0.5153612,51.5361189,,,,,,,
2133,2133,11550,Canterbury (C),0.4034888,40.3488775,,,,,,,
2133,2133,17100,Strathfield (A),0.0028093,0.2809337,,,,,,,
2134,2134,11300,Burwood (A),1.0,99.9999992,,,,,,,
2135,2135,11300,Burwood (A),0.2032754,20.3275356,,,,,,,
2135,2135,11520,Canada Bay (A),0.0697079,6.9707868,,,,,,,
2135,2135,17100,Strathfield (A),0.7270168,72.7016776,,,,,,,
2136,2136,11300,Burwood (A),0.5234127,52.3412669,,,,,,,
2136,2136,17100,Strathfield (A),0.4765873,47.6587331,,,,,,,
2137,2137,11520,Canada Bay (A),1.0,99.9999991,,,,,,,
2138,2138,11520,Canada Bay (A),1.0,100.0,,,,,,,
2139,2139,11520,Canada Bay (A),1.0,100.0,,,,,,,
2140,2140,17100,Strathfield (A),0.9999999,99.9999852,,,,,,,
2141,2141,10200,Auburn (C),1.0,100.0,,,,,,,
2142,2142,13950,Holroyd (C),0.1662705,16.6270454,,,,,,,
2142,2142,16250,Parramatta (C),0.8337295,83.3729501,,,,,,,
2143,2143,10200,Auburn (C),0.545972,54.5972018,,,,,,,
2143,2143,10350,Bankstown (C),0.454028,45.4027982,,,,,,,
2144,2144,10200,Auburn (C),1.0,100.0,,,,,,,
2145,2145,13950,Holroyd (C),0.7685588,76.8558829,,,,,,,
2145,2145,16250,Parramatta (C),0.2314412,23.1441171,,,,,,,
2146,2146,10750,Blacktown (C),0.2782348,27.8234808,,,,,,,
2146,2146,13950,Holroyd (C),0.1027424,10.2742389,,,,,,,
2146,2146,16250,Parramatta (C),0.6190228,61.9022803,,,,,,,
2147,2147,10750,Blacktown (C),0.9999999,99.9999856,,,,,,,
2148,2148,10750,Blacktown (C),0.9999618,99.9961816,,,,,,,
2150,2150,13950,Holroyd (C),0.0237326,2.3732604,,,,,,,
2150,2150,16250,Parramatta (C),0.9762674,97.6267396,,,,,,,
2151,2151,16250,Parramatta (C),0.5932106,59.3210643,,,,,,,
2151,2151,17420,The Hills Shire (A),0.4067894,40.6789357,,,,,,,
2152,2152,16250,Parramatta (C),0.6305625,63.0562487,,,,,,,
2152,2152,17420,The Hills Shire (A),0.3694375,36.9437513,,,,,,,
2153,2153,10750,Blacktown (C),0.0012223,0.1222314,,,,,,,
2153,2153,16250,Parramatta (C),0.2214739,22.1473935,,,,,,,
2153,2153,17420,The Hills Shire (A),0.7773038,77.7303751,,,,,,,
2154,2154,14000,Hornsby (A),0.1493708,14.9370836,,,,,,,
2154,2154,17420,The Hills Shire (A),0.8506292,85.0629164,,,,,,,
2155,2155,10750,Blacktown (C),0.2002929,20.0292925,,,,,,,
2155,2155,17420,The Hills Shire (A),0.7997071,79.9707075,,,,,,,
2156,2156,14000,Hornsby (A),0.0185512,1.8551238,,,,,,,
2156,2156,17420,The Hills Shire (A),0.9814488,98.1448762,,,,,,,
2157,2157,14000,Hornsby (A),0.4621662,46.2166215,,,,,,,
2157,2157,17420,The Hills Shire (A),0.5378338,53.7833785,,,,,,,
2158,2158,14000,Hornsby (A),0.6568184,65.6818363,,,,,,,
2158,2158,17420,The Hills Shire (A),0.3431816,34.3181637,,,,,,,
2159,2159,14000,Hornsby (A),1.0,100.0,,,,,,,
2160,2160,13950,Holroyd (C),0.7843261,78.4326051,,,,,,,
2160,2160,16250,Parramatta (C),0.2156739,21.5673949,,,,,,,
2161,2161,12850,Fairfield (C),0.1412724,14.1272444,,,,,,,
2161,2161,13950,Holroyd (C),0.4074208,40.7420814,,,,,,,
2161,2161,16250,Parramatta (C),0.4513067,45.1306742,,,,,,,
2162,2162,10350,Bankstown (C),0.9577063,95.7706335,,,,,,,
2162,2162,16250,Parramatta (C),0.0422937,4.2293665,,,,,,,
2163,2163,10350,Bankstown (C),0.3978493,39.7849251,,,,,,,
2163,2163,12850,Fairfield (C),0.6021507,60.2150749,,,,,,,
2164,2164,12850,Fairfield (C),0.9271785,92.717848,,,,,,,
2164,2164,13950,Holroyd (C),0.0728215,7.2821517,,,,,,,
2165,2165,12850,Fairfield (C),0.9963096,99.6309552,,,,,,,
2165,2165,13950,Holroyd (C),0.0036904,0.3690448,,,,,,,
2166,2166,12850,Fairfield (C),1.0,100.0,,,,,,,
2167,2167,11500,Campbelltown (C),1.0,100.0,,,,,,,
2168,2168,14900,Liverpool (C),1.0,100.0,,,,,,,
2170,2170,12850,Fairfield (C),0.090821,9.0821026,,,,,,,
2170,2170,14900,Liverpool (C),0.9091173,90.9117256,,,,,,,
2171,2171,12850,Fairfield (C),0.0004717,0.0471749,,,,,,,
2171,2171,14900,Liverpool (C),0.9995283,99.9528251,,,,,,,
